Unnamed: 0,Surname,#Awards,Education,DBLP
387,Mehlhorn,4,"['Cornell University', '[2]']",449
389,Meyer,3,"['Université de Nancy', 'Stanford University', 'École Polytechnique']",367
390,Micali,3,"['La Sapienza University of Rome', 'UC Berkeley']",168
391,Milner,5,[],108
392,Minker,2,"['Brooklyn College', 'University of Wisconsin', 'University of Pennsylvania']",156
393,Minsky,6,"['Harvard University', 'BA', 'Princeton University', 'MA', 'PhD']",33
394,Mitchell,2,"['University of Waterloo', 'Carnegie Mellon University']",365
395,Mitchell,3,"['Stanford University', 'Massachusetts Institute of Technology']",365
396,Arvind,14,"['IIT Kanpur', 'B.Sc., 1969', 'University of Minnesota', 'M.S.', 'Ph.D.']",3491
397,Mockapetris,4,"['Massachusetts Institute of Technology', 'University of California at Irvine']",13
398,Moler,2,"['California Institute of Technology', 'Stanford University']",24
399,Moller,0,"['University of British Columbia', 'University of Waterloo', 'University of Edinburgh']",77
400,Moon,0,['Pennsylvania State University'],334
401,Moore,0,[],173
402,Moore,0,"['Virginia Tech', 'Brown University']",173
403,Moore,9,"['University of California, Berkeley', 'BS', 'California Institute of Technology', 'PhD']",173
404,Moore,0,[],173
405,Moore,4,['Stanford University'],173
406,Moravec,0,"['Acadia University', '[1]', 'University of Western Ontario', '[1]', 'Stanford University', '[1]']",18
407,Morgan,0,"['Ph.D.', 'University of Sydney']",132
408,Morris,0,"['Harvard University ', 'Cornell University']",637
409,Moses,0,"['BA', 'MA', 'Columbia University', 'PhD', 'mathematics', 'MIT']",28
410,Motwani,1,"['IIT Kanpur', 'B.Tech', 'C.S.', 'UC Berkeley', 'Ph.D.', 'C.S.']",211
411,Mukhanov,0,[],4
412,Muggleton,4,['University of Edinburgh'],209
414,Mycroft,0,"['University of Cambridge', 'University of Edinburgh']",122
415,Myers,8,"['University of Toronto', 'Massachusetts Institute of Technology']",375
416,Nadin,0,[],49
417,Nagao,8,['Kyoto University'],104
418,Nake,9,[],29
419,Nardi,0,[],181
420,Naur,2,['Technical University of Denmark'],43
421,Needham,2,['University of Cambridge'],87
422,Nell,0,['Drexel University'],38
423,Nelson,2,"['Harvard University', 'Stanford University']",140
424,Neumann,0,[],122
425,Neumann,0,[],122
426,Neumann,6,"['Pázmány Péter University', 'University of Berlin', 'ETH Zürich']",122
427,Newell,5,"['Stanford University', 'Princeton University', 'Carnegie Mellon University']",78
428,Newman,3,"[""St John's College, Cambridge""]",24
429,Ng,9,"['University of California, Berkeley', 'Massachusetts Institute of Technology', 'Carnegie Mellon University']",1002
430,Nilsson,6,['Stanford University'],1832
431,Nijssen,0,['Eindhoven University of Technology'],0
432,Nipkow,0,[],219
433,Nivat,7,['Joseph Fourier University'],110
435,Noe,0,"['UC Berkeley', 'Stanford University']",21
436,Nordin,0,"['University of Dortmund', 'Chalmers University of Technology', 'Göteborg University']",50
437,Norman,4,"['MIT', 'University of Pennsylvania']",198
438,Norvig,2,"['Brown University', 'University of California, Berkeley']",41
440,Nygaard,4,"['M.Sc.', 'University of Oslo']",22
441,Odersky,0,"['Ludwig Maximilian University of Munich', 'ETH Zurich']",140
442,O'Hearn,9,"['Dalhousie University', ""Queen's University""]",110
443,Olle,0,['University of Manchester'],0
444,Omohundro,0,"['Stanford University', 'University of California, Berkeley']",6
445,Ornstein,0,[],11
446,O'Sullivan,2,[],207
447,Ousterhout,2,"[""Bachelor's degree"", 'Ph.D']",83
448,Overmars,0,['Utrecht University'],242
449,Owicki,0,['Cornell University'],36
450,Page,9,"['University of Michigan', 'BS', 'Stanford University', 'MS']",20
451,Pal,2,"['Rajabazar Science College', 'University of Calcutta', 'Indian Statistical Institute', 'Imperial College London']",426
452,Pandya,2,[],82
453,Papadimitriou,5,"['Athens Polytechnic', 'Princeton University']",576
454,Park,0,"['University of Oxford', 'Massachusetts Institute of Technology']",1883
455,Parnas,0,[],182
457,Patt,6,[],216
458,Patterson,6,"['University of California, Los Angeles']",452
459,Paterson,2,"['Ph.D.', 'University of Cambridge']",154
460,Pătrașcu,0,['Massachusetts Institute of Technology'],97
461,Paulson,1,"['California Institute of Technology', 'Stanford University']",223
462,Pausch,5,"['Brown University', 'Carnegie Mellon University']",81
463,Pavón,0,"['Technical University of Madrid', 'Université Pierre et Marie Curie']",200
464,Pearl,5,"['Technion – Israel Institute of Technology', 'New Jersey Institute of Technology', 'Rutgers University', 'New York University Tandon School of Engineering']",309
465,Perlis,2,"['Chemistry', 'Carnegie Mellon', 'MIT']",52
466,Perlman,11,['MIT'],67
467,Perotto,0,[],4
468,Péter,0,[],8
469,Jones,3,['University of Cambridge'],662
470,Pham,0,"['Georgia Institute of Technology', 'Supélec', 'MIT Media Lab', 'Harvard University']",4
471,Pieraccini,11,['University of Pisa'],84
472,Pingali,3,"['IIT Kanpur', 'MIT']",226
473,Plotkin,3,"['University of Glasgow', 'University of Edinburgh']",161
474,Pnueli,2,['Stanford University'],277
475,Poel,2,"['Delft University of Technology', 'B.S.', 'University of Amsterdam', 'Ph.D.']",179
477,Post,0,"['City College of New York', '[1]', 'Columbia University', '[2]']",162
478,Postel,6,['UCLA'],231
479,Preparata,2,['University of Rome'],199
480,Press,0,"['Harvard University', 'California Institute of Technology']",201
482,Rozenberg,10,['Polish Academy of Sciences'],615
483,Rabin,10,"['Hebrew University of Jerusalem', 'MSc', 'University of Pennsylvania', 'Princeton University', 'PhD']",268
484,Radev,2,[],310
485,Raman,4,[],0
486,Randell,0,['Imperial College London'],112
487,Ravn,2,"['University of Copenhagen', 'Technical University of Denmark']",132
488,Reddy,6,"['University of Madras', 'BE', 'University of New South Wales', 'MTech', 'Stanford University', 'PhD']",733
489,Reed,0,['MIT'],322
490,Reenskaug,0,[],18
491,Reynolds,2,"['Purdue University', 'Ph.D.', 'Harvard University']",70
492,Reynolds,0,['University of Southern California'],70
494,Richards,0,[],185
495,Richards,1,['University of Cambridge'],185
496,Ries,0,[],16
497,Rijsbergen,1,"['University of Western Australia', 'University of Cambridge']",0
